"Year","Make","Model","HorsePower","Price","ConsumerRating","ConsumerReviews","SellerType","SellerName","SellerRating","SellerReviews","StreetName","State","Zipcode","DealType","ComfortRating","InteriorDesignRating","PerformanceRating","ValueForMoneyRating","ExteriorStylingRating","ReliabilityRating","Color","InteriorColor","Drivetrain","MinMPG","MaxMPG","FuelType","Transmission","Engine","Engine Capacity(L)","Cylinder","VIN","Stock#","Mileage","bodyType","numberOfDoors"
"2021","BMW","X5 xDrive40i","340","63320","4.8","26","Dealer","Ourisman Volvo Audi of Frederick","4.3","120","6001 Urbana Pike Frederick","MD","21704","Good","4.9","5","4.9","4.6","4.9","4.9","Arctic Gray Metallic","Black","All-wheel Drive","21","25","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCR6C05M9F95254","TF95254","14486","SUV","4"
"2019","BMW","X5 xDrive40i","340","53298","4.7","55","Dealer","Checkered Flag BMW & Mini","4.9","3037","5225 Virginia Beach Blvd Virginia Beach","VA","23462","Fair","5","4.9","4.9","4.4","4.7","4.6","Alpine White","Black","All-wheel Drive","20","26","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCR6C53KLL14562","BB39241","51130","SUV","4"
"2019","BMW","M550 i xDrive","530","52495","4.5","3","Dealer","Auto Holding 46","4.1","111","74 Route 46 Mountain Lakes","NJ","7046","Great","5","4.7","5","3.7","4","4","Bluestone Metallic","Black","All-wheel Drive","18","25","Gasoline","8-Speed Automatic","4.4L V8 32V GDI DOHC Twin Turbo","4.4","8","WBAJB9C50KB464288","464288","29618","Sedan","4"
"2017","BMW","M2 Base","460","5071","4.9","18","Dealer","Volkswagen of Union","2.3","3","2155 Route 22 West Union","NJ","7083","Good","4.7","4.7","5","5","4.9","5","Black Sapphire Metallic","Black","Rear-wheel Drive","18","26","Gasoline","7-Speed Automatic with Auto-Shift","3.0L I6 24V GDI DOHC Turbo","3","6","WBS1H9C39HV888567","M102574A","16189","Coupe","2"
"2016","BMW","X3 xDrive28i","245","17777","4.6","56","Dealer","Dashcars of CT","1.6","25","750 Bridgeport Avenue Milford","CT","6460","Great","4.7","4.6","4.6","4.3","4.8","4.8","Alpine White","Beige","All-wheel Drive","21","28","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXWX9C56G0D67675","DPD67675","98960","SUV","4"
"2011","BMW","328 i xDrive","245","7999","4.5","229","Dealer","Prime Wheels LLC","3.7","27","200 S. Main St East Windsor","CT","6088","Great","4.5","4.5","4.6","4.3","4.7","4.4","Black","Black","All-wheel Drive","17","26","Gasoline","6-Speed Automatic","3.0L I6 24V MPFI DOHC","3","6","WBAPK5C52BA659026","659026","107987","Sedan","4"
"2017","BMW","X5 xDrive35i","306","36221","4.7","77","Dealer","Ron Bouchard's Nissan","4.6","243","490 Old Union Turnpike Lancaster","MA","1523","Fair","4.8","4.7","4.7","4.4","4.8","4.7","Gray","Black","All-wheel Drive","18","24","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXKR0C58H0V65256","PH201319A","66395","SUV","4"
"2017","BMW","X5 xDrive35i","306","38952","4.7","77","Dealer","Tulley Automotive Group","4.7","831","147 Daniel Webster Hwy Nashua","NH","3060","Good","4.8","4.7","4.7","4.4","4.8","4.7","Jet Black","Black","All-wheel Drive","18","24","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXKR0C53H0V66220","B221845A","37371","SUV","4"
"2017","BMW","X3 xDrive28i","245","2899","4.8","89","Dealer","Capitol Hyundai","4.8","1176","1050 Capitol Expressway Auto Mall San Jose","CA","95136","Fair","4.8","4.8","4.9","4.5","4.8","4.9","Alpine White","Black","All-wheel Drive","21","28","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXWX9C38H0T16207","CAR8678","45623","SUV","4"
"2019","BMW","X3 xDrive30i","249","37388","4.7","99","Dealer","Dublin Toyota","4.4","135","4321 Toyota Dr Dublin","CA","94568","Great","4.7","4.7","4.8","4.3","4.8","4.6","Glacier Silver Metallic","Black","All-wheel Drive","22","29","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXTR9C5XKLR05327","T38587B","18302","SUV","4"
"2018","BMW","X3 xDrive30i","249","34491","4.8","64","Dealer","Mercedes-Benz of Boerne","4.8","415","31445 Interstate 10 Frontage Rd Boerne","TX","78006","Fair","4.9","4.9","4.8","4.4","4.9","4.6","Jet Black","–","All-wheel Drive","22","29","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXTR9C50JLD61678","JLD61678","62594","SUV","4"
"2020","BMW","X3 sDrive30i","249","44962","4.9","51","Dealer","BMW of San Antonio","4.5","955","15507 W IH10 San Antonio","TX","78249","Good","5","4.9","4.9","4.7","4.9","4.9","Dark Graphite Metallic","Black","Rear-wheel Drive","25","29","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXTY3C0XL9B77188","L9B77188A","18656","Crossover","4"
"2021","BMW","X3 sDrive30i","249","4488","4.7","29","Dealer","Autos of Dallas","4.3","1341","4472 W Plano Pkwy Plano","TX","75093","Good","4.8","4.7","4.8","4.5","4.8","4.6","Dark Graphite","Black","Rear-wheel Drive","25","29","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXTY3C06M9E84648","E84648","19635","Crossover","4"
"2019","BMW","X5 xDrive40i","340","59591","4.7","55","Dealer","Baron BMW MINI","4.6","1479","9010 Shawnee Mission Pkwy Merriam","KS","66202","Fair","5","4.9","4.9","4.4","4.7","4.6","–","–","All-wheel Drive","20","26","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCR6C52KLL39310","KLL39310","20000","SUV","4"
"2019","BMW","X5 xDrive40i","340","48910","4.7","55","Dealer","Jaguar Land Rover Buckhead","4.5","174","3040 Piedmont Rd NE Atlanta","GA","30305","Fair","5","4.9","4.9","4.4","4.7","4.6","Jet Black","Canberra Beige","All-wheel Drive","20","26","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCR6C51KLL23681","B8903PA","56007","SUV","4"
"2018","BMW","330 i xDrive","258","30987","4.8","32","Dealer","Basil Volkswagen of Lockport","4.7","206","6179 S Transit Rd Lockport","NY","14094","Great","4.9","4.7","4.9","4.6","4.8","4.8","Jet Black","Venetian Beige","All-wheel Drive","23","33","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","WBA8D9C56JEM33973","22453B","53720","Sedan","4"
"2021","BMW","330 i xDrive","258","4474","4.9","11","Dealer","Audi Tysons Corner","4.7","1195","8598 Leesburg Pike Vienna","VA","22182","Good","4.8","4.8","4.9","4.8","4.9","4.7","Jet Black","Black","All-wheel Drive","25","34","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","3MW5R7J03M8C05842","22A0682A","12588","Sedan","4"
"2020","BMW","X3 xDrive30i","249","34491","4.9","51","Dealer","Edison Infiniti","5","4","842 U.S. 1 Edison","NJ","8817","Great","5","4.9","4.9","4.7","4.9","4.9","Phytonic Blue Metallic","Black","All-wheel Drive","24","29","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXTY5C00LLT36991","F098I","49870","SUV","4"
"2020","BMW","X3 xDrive30i","249","39203","4.9","51","Dealer","Chrysler Dodge Jeep Ram Fiat of Manhattan","3.7","47","678 11th Avenue New York","NY","10019","Great","5","4.9","4.9","4.7","4.9","4.9","Blue Metallic","Cognac","All-wheel Drive","24","29","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXTY5C06L9C58927","MUL9C58927","28095","SUV","4"
"2019","BMW","X3 xDrive30i","249","31652","4.7","99","Dealer","Gill Auto Group Madera","4.6","249","1100 S Madera Ave Madera","CA","93637","Good","4.7","4.7","4.8","4.3","4.8","4.6","Jet Black","Canberra Beige","All-wheel Drive","22","29","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXTR9C51KLD98790","KLD98790G","80894","SUV","4"
"2021","BMW","X1 xDrive28i","231","37998","5","3","Dealer","Stevens Creek BMW","4.4","1572","4343 Stevens Creek Blvd Santa Clara","CA","95051","Good","5","5","5","4.7","5","5","Gray","Black","All-wheel Drive","23","31","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","WBXJG9C09M5S71778","NM5S71778","13852","SUV","4"
"2019","BMW","X3 xDrive30i","249","36487","4.7","99","Dealer","BMW of Fremont","4.5","1222","5720 Cushing Parkway Fremont","CA","94538","Great","4.7","4.7","4.8","4.3","4.8","4.6","Black Sapphire Metallic","–","All-wheel Drive","22","29","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXTR9C58KLP89383","KLP89383","20765","SUV","4"
"2018","BMW","X2 sDrive28i","231","2948","4.7","42","Dealer","Autos of Dallas","4.3","1341","4472 W Plano Pkwy Plano","TX","75093","Fair","4.6","4.7","4.7","4.5","4.9","4.5","Mineral Gray Metallic","Black","Front-wheel Drive","23","32","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","WBXYJ3C39JEJ84840","J84840","47986","Crossover","4"
"2019","BMW","X5 xDrive50i","329","69995","4.7","55","Dealer","Sears Imported Autos","4.9","1952","13500 Wayzata Blvd Minnetonka","MN","55305","Fair","5","4.9","4.9","4.4","4.7","4.6","Black Sapphire Metallic","Black","All-wheel Drive","17","22","Gasoline","8-Speed Automatic","4.4L V8 32V GDI DOHC Twin Turbo","4.4","8","5UXJU2C53KLN65502","5352","13965","SUV","4"
"2019","BMW","330 i","258","34664","4.9","30","Dealer","BMW of Tampa","4.7","1046","109 E. Fowler Ave Tampa","FL","33612","Fair","4.9","4.9","5","4.6","4.9","4.9","Jet Black","Beige","Rear-wheel Drive","26","36","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","3MW5R1J5XK8B00026","AK07247A","35396","Sedan","4"
"2019","BMW","X5 xDrive40i","340","5375","4.7","55","Dealer","BMW of Sterling","4.5","1031","21710 Auto World Cir Sterling","VA","20166","Fair","5","4.9","4.9","4.4","4.7","4.6","Alpine White","Black","All-wheel Drive","20","26","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCR6C58KLL61859","KLL61859P","18248","SUV","4"
"2020","BMW","X7 xDrive40i","381","72993","4.9","22","Dealer","BMW of Rockville","4.6","1611","1300 Rockville Pike Rockville","MD","20852","Good","5","5","5","4.7","4.9","4.9","Mineral White Metallic","Black","All-wheel Drive","20","25","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCW2C00L9D11786","L9D11786","17259","SUV","4"
"2016","BMW","X5 xDrive35i","306","28002","4.8","73","Dealer","Koons Kia Owings Mills","4.6","162","9610 Reisterstown Rd Owings Mills","MD","21117","Good","4.8","4.8","4.8","4.5","4.8","4.7","Alpine White","Black","All-wheel Drive","18","24","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXKR0C55G0P26225","00PR2173","80369","SUV","4"
"2020","BMW","X3 xDrive30i","249","37995","4.9","51","Dealer","BMW of Bloomfield","4.2","77","425 Bloomfield Ave Bloomfield","NJ","7003","Great","5","4.9","4.9","4.7","4.9","4.9","Alpine White","Canberra Beige","All-wheel Drive","24","29","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXTY5C05L9B31716","N9M83778A","37204","SUV","4"
"2019","BMW","X7 xDrive40i","381","68943","4.1","22","Dealer","BMW of Freeport","4.7","1351","291 W. Sunrise Hwy Freeport","NY","11520","Good","4.5","4.6","4","3.4","4.5","3.5","Carbon Black Metallic","Ivory White","All-wheel Drive","20","25","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCW2C51KLB44058","KLB44058T","41859","SUV","4"
"2018","BMW","X3 xDrive30i","249","31487","4.8","64","Dealer","BMW of Norwood","4.6","1108","920 Providence Highway Norwood","MA","2062","Fair","4.9","4.9","4.8","4.4","4.9","4.6","Glacier Silver Metallic","Black","All-wheel Drive","22","29","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXTR9C50JLD59803","JLD59803","71728","SUV","4"
"2018","BMW","X5 xDrive35i","306","40501","4.8","66","Dealer","Land Rover Hanover","4.6","266","2144 Washington Street Hanover","MA","2339","Fair","4.8","4.9","4.9","4.5","4.9","4.8","Space Gray Metallic","Black","All-wheel Drive","18","24","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXKR0C57JL074374","JL074374","49424","SUV","4"
"2015","BMW","435 Gran Coupe i","241","24472","4.9","8","Dealer","Klamath Falls Honda","4.9","121","2810 Washburn Way Klamath Falls","OR","97603","NA","4.9","5","4.9","4.6","5","4.9","Carbon Black Metallic","Black","Rear-wheel Drive","21","32","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","WBA4B1C59FD418127","P418127","100256","Sedan","4"
"2018","BMW","X3 M40i","360","42998","4.8","64","Dealer","CarMax South Broadway - Now offering Curbside Pickup and Home Delivery","3.4","35","5850 S Broadway Littleton","CO","80121","Fair","4.9","4.9","4.8","4.4","4.9","4.6","White","Black","All-wheel Drive","20","27","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXTS3C58J0Y97956","22367003","38516","SUV","4"
"2020","BMW","X3 xDrive30i","249","44995","4.9","51","Dealer","BMW of West St. Louis","4.9","1867","14417 Manchester Rd Ballwin","MO","63011","Good","5","4.9","4.9","4.7","4.9","4.9","Jet Black","Canberra Beige","All-wheel Drive","24","29","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXTY5C0XL9D39283","T2529-0","22938","SUV","4"
"2018","BMW","X3 xDrive30i","249","38491","4.8","64","Dealer","Laurel BMW of Westmont","4.7","1417","430 E. Ogden Ave. Westmont","IL","60559","Good","4.9","4.9","4.8","4.4","4.9","4.6","Mineral White Metallic","–","All-wheel Drive","22","29","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXTR9C51JLD89523","JLD89523","10925","SUV","4"
"2020","BMW","M340 i","387","50397","4.9","29","Dealer","Century Automotive","2.1","12","3800 University Dr NW Huntsville","AL","35816","NA","4.8","4.8","5","4.7","4.9","4.9","Alpine White","Black","Rear-wheel Drive","22","30","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","WBA5U7C06LFH32892","H32892","33800","Sedan","4"
"2016","BMW","X3 xDrive28i","245","29998","4.6","56","Dealer","CarMax Norcross - Now offering Curbside Pickup and Home Delivery","3.5","19","1975 Beaver Ruin Rd Norcross","GA","30071","Good","4.7","4.6","4.6","4.3","4.8","4.8","Red","Tan","All-wheel Drive","21","28","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXWX9C57G0D66471","22494221","39534","SUV","4"
"2018","BMW","X5 xDrive35i","306","43487","4.8","66","Dealer","Hendrick Southpoint Auto Mall","4.8","797","200 Kentington Dr Durham","NC","27713","Good","4.8","4.9","4.9","4.5","4.9","4.8","Dark Graphite Metallic","Black","All-wheel Drive","18","24","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXKR0C51J0X90835","NB1052A","39387","SUV","4"
"2020","BMW","X7 xDrive40i","381","72993","4.9","22","Dealer","BMW of Rockville","4.6","1611","1300 Rockville Pike Rockville","MD","20852","Good","5","5","5","4.7","4.9","4.9","Mineral White Metallic","Black","All-wheel Drive","20","25","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCW2C00L9D11786","L9D11786","17259","SUV","4"
"2019","BMW","330 i xDrive","258","36999","4.9","30","Dealer","Portsmouth Chevrolet","4.3","180","549 Route 1 Bypass Portsmouth","NH","3801","Good","4.9","4.9","5","4.6","4.9","4.9","Black Sapphire Metallic","Black","All-wheel Drive","25","34","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","3MW5R7J54K8A26511","CH22007A","31096","Sedan","4"
"2019","BMW","X1 sDrive28i","231","32988","4.7","17","Dealer","Lexus of Stevens Creek","4.9","905","3333 Stevens Creek Blvd San Jose","CA","95117","Fair","4.8","4.6","4.8","4.7","4.8","4.6","Blue Metallic","Oyster / Black","Front-wheel Drive","23","32","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","WBXHU7C59K3H46185","3P06498","33480","Crossover","4"
"2019","BMW","750 i xDrive","450","56996","5","5","Dealer","Selective Autoplex","4.6","60","1010 Hutton Drive  Carrollton","TX","75006","Great","5","5","5","5","5","5","Azurite Black Metallic","Tartufo","All-wheel Drive","17","25","Gasoline","8-Speed Automatic","4.4L V8 32V GDI DOHC Twin Turbo","4.4","8","WBA7F2C59KB240457","PKB240457","38864","Sedan","4"
"2020","BMW","X3 xDrive30i","249","43701","4.9","51","Dealer","BMW of West St. Louis","4.9","1867","14417 Manchester Rd Ballwin","MO","63011","Good","5","4.9","4.9","4.7","4.9","4.9","Alpine White","Canberra Beige","All-wheel Drive","24","29","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXTY5C06L9B16948","T2521-0","31655","SUV","4"
"2020","BMW","X5 xDrive40i","340","5331","4.7","53","Dealer","BMW of Orland Park","4.5","611","11030 W 159th St Orland Park","IL","60467","Good","4.8","4.8","4.8","4.4","4.7","4.7","Black Sapphire Metallic","Black","All-wheel Drive","20","26","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCR6C08L9B57164","VB713","45149","SUV","4"
"2020","BMW","750 i xDrive","450","72465","5","3","Dealer","Brentwood Auto Brokers","4.4","84","115 Clemmons Rd Mt. Juliet","TN","37122","Good","5","5","5","5","5","5","Black","Black","All-wheel Drive","17","25","Gasoline","8-Speed Automatic","4.4L V8 32V GDI DOHC Twin Turbo","4.4","8","WBA7U2C02LGM26582","LGM26582","36039","Sedan","4"
"2019","BMW","X5 xDrive40i","340","51794","4.7","55","Dealer","Rick Case Kia at Gwinnett Place","4.5","748","3190 Satellite Pointe NW Duluth","GA","30096","Good","5","4.9","4.9","4.4","4.7","4.6","Alpine White","Amarone","All-wheel Drive","20","26","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCR6C52KLL53014","KNG295121A","21845","SUV","4"
"2020","BMW","X5 xDrive40i","340","59288","4.7","53","Dealer","BMW of Gwinnett Place","4.7","846","3264 Commerce Ave Duluth","GA","30096","Fair","4.8","4.8","4.8","4.4","4.7","4.7","Jet Black","Canberra Beige","All-wheel Drive","20","26","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCR6C02L9C82404","P43250","21810","SUV","4"
"2019","BMW","X5 xDrive40i","340","51525","4.7","55","Dealer","Volkswagen North Scottsdale","4.7","347","7001 E. Chauncey Ln. Scottsdale","AZ","85054","Good","5","4.9","4.9","4.4","4.7","4.6","Alpine White","Black","All-wheel Drive","20","26","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCR6C54KLL64726","WP8203","35025","SUV","4"
"2020","BMW","X7 xDrive40i","381","76697","4.9","22","Dealer","Reliable Toyota Lexus BMW Audi","4.9","2473","3521 E Sunshine St Springfield","MO","65809","Fair","5","5","5","4.7","4.9","4.9","Dark Graphite","Black","All-wheel Drive","20","25","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCW2C05L9B15455","34836A","19859","SUV","4"
"2020","BMW","740 i xDrive","380","63614","5","2","Dealer","BMW of Schererville","4.6","431","1400 Indianapolis Blvd Schererville","IN","46375","Fair","5","5","5","5","5","5","Glacier Silver Metallic","Cognac","All-wheel Drive","20","28","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","WBA7T4C08LCD72360","P5916","38187","Sedan","4"
"2016","BMW","528 i xDrive","245","20499","4.8","36","Dealer","AX Auto Inc.","4.1","120","2790 Burton Rd NW Atlanta","GA","30311","NA","4.8","4.8","4.8","4.6","4.8","4.7","White","Black","All-wheel Drive","22","34","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","WBA5A7C54GG148590","14732","46529","Sedan","4"
"2018","BMW","M550 M550i xDrive","462","43995","4.6","13","Dealer","Maximum Auto Outlet","4","409","8503 Euclid Ave Manassas Park","VA","20111","Good","4.8","4.8","4.9","4.3","4.5","4.2","Azurite Black Metallic","Mocha","All-wheel Drive","16","25","Gasoline","Automatic","Engine: 4.4L TwinPower Turbo V8","4.4","8","WBAJB9C52JG464133","JG464133","68195","Sedan","4"
"2018","BMW","X1 xDrive28i","231","31658","4.8","79","Dealer","Richmond BMW","4.8","1205","8710 W Broad St Richmond","VA","23294","Good","4.7","4.7","4.8","4.6","4.8","4.8","Black Sapphire Metallic","Beige","All-wheel Drive","22","31","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","WBXHT3C31J5K27173","CBML220079B","30729","SUV","4"
"2018","BMW","X1 sDrive28i","231","26788","4.8","79","Dealer","Lexus of Concord","4.5","471","2101 Market St Concord","CA","94520","Good","4.7","4.7","4.8","4.6","4.8","4.8","Alpine White","Oyster","Front-wheel Drive","23","32","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","WBXHU7C39J5H40243","L18847A","39294","Crossover","4"
"2014","BMW","X3 xDrive35i","306","27999","4.7","69","Dealer","Lee Johnson Chevrolet Mazda KIA","4.7","196","11845 Northeast 85th Street Kirkland","WA","98033","NA","4.7","4.6","4.8","4.4","4.7","4.7","Jet Black","Black","All-wheel Drive","19","26","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXWX7C55E0E82110","616849","24936","SUV","4"
"2008","BMW","X5 4.8i","360","14999","4.4","60","Dealer","Premier Auto","4.4","54","2296 N Rand Rd Palatine","IL","60074","Good","4.7","4.6","4.4","4","4.7","3.9","Black Sapphire Metallic","Sand Beige","All-wheel Drive","14","19","Gasoline","6-Speed Automatic","4.8L V8 32V MPFI DOHC","4.4","8","5UXFE83528L098667","11700","59856","SUV","4"
"2020","BMW","X5 M50i","530","79910","4.7","53","Dealer","Nalley BMW","4.1","610","1606 Church St Decatur","GA","30033","Fair","4.8","4.8","4.8","4.4","4.7","4.7","White Metallic","Black","All-wheel Drive","16","22","Gasoline","8-Speed Automatic","4.4L V8 32V GDI DOHC Twin Turbo","4.4","8","5UXJU4C01L9B96284","NBD220937A","23649","SUV","4"
"2021","BMW","330 i","258","40775","4.9","11","Dealer","BMW of Tampa","4.7","1046","109 E. Fowler Ave Tampa","FL","33612","Good","4.8","4.8","4.9","4.8","4.9","4.7","Jet Black","Black","Rear-wheel Drive","26","36","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","3MW5R1J03M8C04610","8C74146A","20801","Sedan","4"
"2004","BMW","Z4 2.5i Roadster","192","1799","4.7","33","Dealer","Susquehanna Chrysler Dodge Jeep RAM","4.8","558","950 Hellam St Wrightsville","PA","17368","NA","4.4","4.7","4.8","4.8","4.8","4.6","–","–","Rear-wheel Drive","20","28","Gasoline","Automatic","2.5L I6 24V MPFI DOHC","2.5","4","4USBT33534LS50632","2480A","8900","Roadster","2"
"2019","BMW","430 i","258","38998","4.9","8","Dealer","Nissan of Costa Mesa","4.3","46","2850 HARBOR BLVD COSTA MESA CA Costa Mesa","CA","92626","Great","4.9","4.8","5","4.9","5","5","Sunset Orange Metallic","Black","Rear-wheel Drive","24","34","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","WBA4W3C5XKAF92867","PN6648","16241","Coupe","2"
"2019","BMW","540 i","340","49488","4.9","17","Dealer","Sewell BMW of Grapevine","3.9","60","1111 E State Hwy 114 Grapevine","TX","76051","Good","4.9","4.9","5","4.6","5","4.8","Black Sapphire Metallic","Black","Rear-wheel Drive","21","29","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","WBAJE5C5XKWW26985","5145158","27222","Sedan","4"
"2019","BMW","X3 sDrive30i","249","35389","4.7","99","Dealer","EchoPark Automotive Greensboro Delivery Center","1.3","4","ONLINE ONLY Greensboro","NC","27455","Good","4.7","4.7","4.8","4.3","4.8","4.6","Jet Black","Black","Rear-wheel Drive","23","30","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXTR7C50KLF26652","PKLF26652","33016","Crossover","4"
"2021","BMW","X7 xDrive40i","381","7627","5","10","Dealer","BMW of Sterling","4.5","1031","21710 Auto World Cir Sterling","VA","20166","Good","5","5","4.9","4.9","5","5","Phytonic Blue Metallic","Cognac","All-wheel Drive","19","24","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCW2C01M9F35246","M9F35246C","16320","SUV","4"
"2019","BMW","X5 xDrive40i","340","5425","4.7","55","Dealer","Coggin BMW Treasure Coast","4.8","486","4429 US-1 Fort Pierce","FL","34982","Great","5","4.9","4.9","4.4","4.7","4.6","Alpine White","Black","All-wheel Drive","20","26","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCR6C54KLL64886","CMT221567A","18003","SUV","4"
"2019","BMW","X3 xDrive30i","249","45477","4.7","99","Dealer","Imperial Hyundai","4.6","329","154 E Main St Milford","MA","1757","Fair","4.7","4.7","4.8","4.3","4.8","4.6","Jet Black","Black","All-wheel Drive","22","29","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXTR9C51KLR08777","H03259","15184","SUV","4"
"2014","BMW","X3 xDrive28i","245","24823","4.7","69","Dealer","Capitol Kia","4.6","177","755 Capitol Expressway Auto Mall San Jose","CA","95136","Fair","4.7","4.6","4.8","4.4","4.7","4.7","Mineral Silver Metallic","Oyster","All-wheel Drive","21","28","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","5UXWX9C56E0D32454","CAR8657","12262","SUV","4"
"2022","BMW","X2 xDrive28i","231","37898","4.8","2","Dealer","BMW Portland","4.8","1292","2001 SW Jefferson St Portland","OR","97201","Great","5","4.5","5","4.5","4.5","5","Alpine White","Black","All-wheel Drive","24","31","Gasoline","8-Speed Automatic","2.0L I4 16V GDI DOHC Turbo","2","4","WBXYJ1C00N5T40926","N5T40926S","10941","SUV","4"
"2019","BMW","X5 xDrive40i","340","54499","4.7","55","Dealer","AutoNation USA Denver 104","5","5","759 1 104th Northglenn","CO","80234","Fair","5","4.9","4.9","4.4","4.7","4.6","Alpine White","–","All-wheel Drive","20","26","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCR6C56KLL35342","KLL35342","29412","SUV","4"
"2021","BMW","X7 xDrive40i","381","7695","5","10","Dealer","eCarOne","4.9","1826","555 North East Loop 820 Hurst","TX","76053","Good","5","5","4.9","4.9","5","5","Alpine White","Black","All-wheel Drive","19","24","Gasoline","8-Speed Automatic","3.0L I6 24V GDI DOHC Turbo","3","6","5UXCW2C05M9E03011","PM9E03011","14643","SUV","4"
